total_energy,max_energy,mean_energy,std_energy,n_particles,energy_ratio,energy_centrality,energy_asymmetry
5.3203964,1.0,0.0059115514,0.0495685,13,0.859375,0.65574145,0.44174597
4.9275703,1.0,0.0054750782,0.052021336,10,0.8545454545454545,0.9846348,0.487129
3.0592575,1.0,0.003399175,0.038839735,4,0.9791666666666666,0.89633524,0.4751497
6.709493,1.0,0.0074549923,0.055735327,14,0.9365079365079365,0.9296716,0.50640154
2.2281523,1.0,0.0024757248,0.035340723,6,0.8260869565217391,0.9669455,0.35653535
3.6447856,1.0,0.0040497617,0.049363106,7,0.9473684210526315,0.9693994,0.089304425
3.490497,1.0,0.00387833,0.045426954,7,0.9487179487179487,0.7436827,0.18641743
1.7848576,1.0,0.001983175,0.03584311,3,0.9615384615384616,0.9459053,0.46944267
3.7009006,1.0,0.004112112,0.050068222,7,1.0,0.70386237,0.2896626
2.2109075,1.0,0.0024565638,0.03665103,4,0.875,0.9789182,0.17620057
1.9789681,1.0,0.0021988535,0.036690854,4,0.8947368421052632,0.9722705,0.44670558
1.585539,1.0,0.00176171,0.0339911,2,0.8867924528301887,0.88600683,0.60580975
2.9496665,1.0,0.0032774073,0.040727347,3,0.9302325581395349,0.9118677,0.17858775
3.0301242,1.0,0.0033668047,0.0379431,5,0.9795918367346939,0.61197823,0.18005082
1.535492,1.0,0.0017061022,0.0337605,2,0.9393939393939394,0.97664595,0.49724847
1.3828386,1.0,0.0015364874,0.033736214,2,0.9583333333333334,0.98239577,0.62684274
2.3341925,1.0,0.0025935473,0.038889147,2,0.9322033898305084,0.89306146,0.68506134
2.1354852,1.0,0.0023727613,0.037356697,5,1.0,0.6738782,0.26312953
3.5158808,1.0,0.003906534,0.045629784,8,0.9512195121951219,0.9834112,0.32062197
2.4647152,1.0,0.0027385724,0.040883455,3,0.7878787878787878,0.99389094,0.00810296
3.659175,1.0,0.0040657497,0.047222603,4,0.8305084745762712,0.94571525,0.07959337
3.3812704,1.0,0.0037569671,0.050114326,4,0.8529411764705882,0.9846329,0.27542713
3.31674,1.0,0.0036852667,0.046306647,6,0.967741935483871,0.9784275,0.0042717434
4.432912,1.0,0.0049254578,0.05037307,12,0.8285714285714286,0.8952427,0.42341673
3.8465614,1.0,0.004273957,0.052035466,6,1.0,0.5803045,0.42695463
2.440348,1.0,0.0027114977,0.037748694,5,0.8928571428571429,0.8104715,0.28116193
4.2956586,1.0,0.004772954,0.047830407,10,1.0,0.4090918,0.39085016
4.9658933,1.0,0.0055176592,0.05707694,9,0.9411764705882353,0.57054317,0.56585646
3.0539327,1.0,0.0033932584,0.045290064,5,0.9019607843137255,0.93785363,0.48658565
2.262405,1.0,0.0025137833,0.035378724,4,1.0,0.85884905,0.32959762
3.7689834,1.0,0.0041877595,0.048966233,5,0.9782608695652174,0.589504,0.22984532
3.704889,1.0,0.0041165436,0.05047475,6,0.9333333333333333,0.9786262,0.11118586
3.9993362,1.0,0.004443707,0.04637717,6,0.96,0.9399203,0.45930344
